Proposal Title,Contributor(s),Prof. Affiliations,Verticals (max 3),Authority,Funding,Misc.,Agency/Exec. Office,Full Proposal,Supporting documents
"Federal Light Duty Vehicle Procurement Executive Order
","""Natasha Vidangos, Ph.D."",Andrew Salzberg,Tom Van Heeke,""Kelly Fleming, Ph.D."",Joel Levin,""Dan Kammen, Ph.D."",Kevin Vincent","Clean Energy for Biden, Transit, Plug In America, ex-DOS, ex-DOT",Auto & Transport,Executive order,No funding,Procurement,"GSA,WH",Federal Light Duty Vehicle Procurement Executive Order.docx (1).pdf (https://dl.airtable.com/.attachments/ee2671e034b5c4065714c74befd79d09/a2ed6550/FederalLightDutyVehicleProcurementExecutiveOrder.docx1.pdf),
"Military Procurement to Create a Market for Clean Hydrogen Products
",Solomon Goldstein-Rose,"Author, ex-Massachusetts State Legislature","Energy,Auto & Transport,Manufacturing & Onshoring",Executive order,No funding,Procurement,"DOD,WH",Military Procurement to Create a Market for Clean Hydrogen Products.docx.pdf (https://dl.airtable.com/.attachments/52e680bd75bbb110e4634569b9a1e60a/045634bd/MilitaryProcurementtoCreateaMarketforCleanHydrogenProducts.docx.pdf),
Leverage federal procurement to create markets for direct air capture (DAC) services and products made from CO2 captured from DAC,"Abigail Regitsky,Preeti Kanther,Mike Weiner,Nicholas Eisenberger ","Clean Energy for Biden, Pure Energy Partners","Manufacturing & Onshoring,Infrastructure,Innovation",Existing authority,No funding,Procurement,"GSA,DOD,DOE,EPA,DOT,NIST,DHS",Leverage federal procurement to create markets for direct air capture (DAC) services and products made from CO2 captured from DAC..docx.pdf (https://dl.airtable.com/.attachments/8dbf6d50e770188b88b5ba28f9e07bf8/df6a34af/LeveragefederalprocurementtocreatemarketsfordirectaircaptureDACservicesandproductsmadefromCO2capturedfromDAC..docx.pdf),
"Executive Order ending use of “minority” in federal regulations and programs
",Anna Lising,Clean Energy for Biden,Equity & EJ,Executive order,No funding,WH Press,WH,Executive Order ending use of “minority” in federal regulations and programs.docx.pdf (https://dl.airtable.com/.attachments/0c5d3441fcb0faa8a05f0d8378c3bee1/fe18fd43/ExecutiveOrderendinguseofminorityinfederalregulationsandprograms.docx.pdf),
"Implement a Climate Competition-Based Concrete Procurement Standard for all Federal Agencies
","Christopher Neidl,Shuchi Talati,Na’im Merchant","Carbon 180, OpenAir Collective","Manufacturing & Onshoring,Infrastructure,Heavy Industry",Existing authority,No funding,Procurement,"EPA,GSA,DOT,HUD",Implement a Climate Competition-Based Concrete Procurement Standard for all Federal Agencies.docx.pdf (https://dl.airtable.com/.attachments/138ceebe22ed29993fc74a9b4502d7ae/7f869f40/ImplementaClimateCompetition-BasedConcreteProcurementStandardforallFederalAgencies.docx.pdf),
"Powering America: Federal Renewable Electricity Standard for 100% Clean by 2035

",Adam Browning,Vote Solar,Energy,New legislation,No funding,,DOE,Powering America_ Federal Renewable Electricity Standard for 100% Clean by 2035.docx.pdf (https://dl.airtable.com/.attachments/be6d852332593eccd2200a2f0b112966/292a792e/PoweringAmerica_FederalRenewableElectricityStandardfor100Cleanby2035.docx.pdf),
Modernize PURPA with the Community Energy and Jobs Act,"Marty Mobley,Bruce Bedwell,Ross Abbey ,David Watts",US Solar Corporation,"Energy,Infrastructure",New legislation,No funding,Fed/State Partners. ,FERC,Modernize PURPA with the Community Energy and Jobs Act_docx.pdf (https://dl.airtable.com/.attachments/6f26bf8e02eda15075d9088ccc717563/c644a0c9/ModernizePURPAwiththeCommunityEnergyandJobsAct_docx.pdf),
"Capitalize the independent non-partisan Clean Energy and Sustainability Accelerator (the, “Accelerator”) ","Jahi Wise,Jeff Schub ",Coalition for Green Capital,"Energy,Equity & EJ","New legislation,Existing authority",Funding,"Stimulus,Potential Reconciliation",TREAS,"""Capitalize the independent non-partisan Clean Energy and Sustainability Accelerator (the, “Accelerator”) _docx.pdf (https://dl.airtable.com/.attachments/40da60690084a29c100a92555cd2e476/1664be8b/Capitalizetheindependentnon-partisanCleanEnergyandSustainabilityAcceleratortheAccelerator_docx.pdf)""",
"Advance EV Adoption by Ordering EPA to Process RIN Applications 

",Matt Nelson,"Electrify America, ex-DOE","Energy,Infrastructure,Auto & Transport","Existing authority,Executive order",No funding,,"EPA,WH",eRIN proposal.pdf (https://dl.airtable.com/.attachments/8c5171a6498cc9ac530a0cbe766e13e3/6e5efa76/eRINproposal.pdf),eRINs one-pager v2.pdf (https://dl.airtable.com/.attachments/65576ea166d103856a0e0096bf194d8a/e495df47/eRINsone-pagerv2.pdf)
Activating the Federal Renewable Fuel Standard Electric Pathway to Sustain Renewable Energy Investments US Agriculture Sector,Albert Straus,Straus Family Creamery,"Auto & Transport,Conservation & Ag.",Existing authority,No funding,,EPA,Activating the Federal Renewable Fuel Standard Electric Pathway to Sustain Renewable Energy Investments US Agriculture Sector.docx.pdf (https://dl.airtable.com/.attachments/fad814c8112c768145547c5f8135cc34/d6f511bf/ActivatingtheFederalRenewableFuelStandardElectricPathwaytoSustainRenewableEnergyInvestmentsUSAgricultureSector.docx.pdf),
"Renewable Energy Targets for GSA
",Sara Neff,Kilroy Realty Corporation,Energy,"Existing authority,New legislation",Fund no-fund option,Procurement,"GSA,WH",Renewable Energy Targets for GSA.pdf (https://dl.airtable.com/.attachments/99e49426a6d905b3cfcf8d78576b98d5/909e1a9b/RenewableEnergyTargetsforGSA.pdf),
Better American Challenge: Supercharge the 45Q Tax Credit and DOE Loan and Clean-Up Programs to Lower Costs and Drive an Equitable Low Carbon Transition,Uday Varadarajan,Rocky Mountain Institute,"Energy,Equity & EJ,Buildings & Affordable Housing","New legislation,New regulations,Executive order",Funding,Tax Credit,"DOE,TREAS,EPA",Better America Challenge.pdf (https://dl.airtable.com/.attachments/8ae844fcc89e2a7cc44f4b5b172c16cf/1dd7cbb7/BetterAmericaChallenge.pdf),
"The Healthy Home Loan Program: A Clean Energy and Clean Drinking Water Financing Program for Low-Income Homeowners 
","Colin Bishopp,""Jim Barrett, Ph.D.""","PACENation, American Council for an Energy-Efficient Economy, ex-DOE","Energy,Buildings & Affordable Housing,Equity & EJ",Existing authority,No funding,Fed/State Partners. ,"EPA,DOE,HUD",Healthy Home Loan Program_CLEEN v2.docx.pdf (https://dl.airtable.com/.attachments/3df798623bef3d2e24f39e7a4e8c1d63/0b4c1d0a/HealthyHomeLoanProgram_CLEENv2.docx.pdf),Healthy Home Loan Program_White Paper (1).pdf (https://dl.airtable.com/.attachments/ae685b9d06a0acc89421fc8b2fe10046/299c3513/HealthyHomeLoanProgram_WhitePaper1.pdf)
"Require Mortgages Backed by Government-Sponsored Entities to Meet a Minimum Energy Efficiency and Climate Resilience Threshold
","Jeff Perlman,Jon Braman","Bright Power
",Buildings & Affordable Housing,Existing authority,No funding,,FHFA,Require Mortgages Backed by the Government Sponsored Entities to Meet a Minimum Energy Efficiency and Climate Resilience Threshold.docx (1).pdf (https://dl.airtable.com/.attachments/a811099fcb80b92b0ed091f6669bd832/a8e99b58/RequireMortgagesBackedbytheGovernmentSponsoredEntitiestoMeetaMinimumEnergyEfficiencyandClimateResilienceThreshold.docx1.pdf),
The Key to Accelerating Electric Vehicles—US Battery Manufacturing Incentives,"""Ion Yadigaroglu, Ph.D.""",Capricorn Investment Group,"Infrastructure,Auto & Transport,Manufacturing & Onshoring",New legislation,Funding,"Potential Reconciliation,Tax Credit","DOE,TREAS",The Key to Accelerating Electric Vehicles – US Battery Manufacturing Incentives .pdf (https://dl.airtable.com/.attachments/fe33126f584d565107fc6b101e184e9e/193ddeda/TheKeytoAcceleratingElectricVehiclesUSBatteryManufacturingIncentives.pdf),
Executive Order on Critical Materials Resilience for a Clean Energy Economy,Ashley Patterson Beaty,Ardeidae Group,"Energy,Infrastructure,Manufacturing & Onshoring",Executive order,No funding,,"DOC,DOI,WH",Executive Order on Critical Materials Resilience for a Clean Energy Economy.docx.pdf (https://dl.airtable.com/.attachments/68b4b167d3c0803c70ed7d706ac86f77/4565e82e/ExecutiveOrderonCriticalMaterialsResilienceforaCleanEnergyEconomy.docx.pdf),
"Strengthen Tax Incentives for Rare Earth Elements
",Ashley Patterson Beaty,Ardeidae Group,"Energy,Manufacturing & Onshoring",New legislation,Funding,"Tax Credit,Stimulus,Potential Reconciliation",TREAS,Strengthen Tax Incentives for Rare Earth Elements.docx (1).pdf (https://dl.airtable.com/.attachments/37fa3e23dcd496cda077536516049d79/b01f0b9b/StrengthenTaxIncentivesforRareEarthElements.docx1.pdf),
Expand Opportunities to Grow Rural Cellular Coverage Through Spectrum and Roaming Access,Christopher Campbell,Tilson Technology,"Infrastructure,Broadband/Telecom",New regulations,Fund no-fund option,,FCC,Expand Opportunities to Grow Rural Cellular Coverage Through Spectrum and Roaming Access_docx.pdf (https://dl.airtable.com/.attachments/3013830522d28384f3ec9e63fc724d5c/b3a9d114/ExpandOpportunitiestoGrowRuralCellularCoverageThroughSpectrumandRoamingAccess_docx.pdf),
"HOPE for HOMES: establish two parallel initiatives to
support immediate job creation and job retention in residential building energy-efficiency retrofit sector","Kara Saul Rinaldi,Bracken Hendricks,""Lowell Ungar, Ph.D.""","AnnDyl Policy Group, Urban Ingenuity, Evergreen Action, American Council for an Energy Efficient Economy","Energy,Buildings & Affordable Housing",New legislation,Funding,"Job Training,Stimulus",DOE,"HOPE for HOMES_docx.pdf (https://dl.airtable.com/.attachments/d6a3b5ba86fc66bb0a7d568988405c35/c5083847/HOPEforHOMES_docx.pdf),HOPE for HOMES Act (S. 4052_ HR 7325).docx.pdf (https://dl.airtable.com/.attachments/9943b7947656746b8edb800324f65e33/f81edb7b/HOPEforHOMESActS.4052_HR7325.docx.pdf)",
"US Adoption of a Methane Protocol for Oil and Gas Sector
",Ken Alex,UC Berkeley School of Law,"Energy,Infrastructure",Existing authority,Fund no-fund option,International Partners.,"DOS,EPA,CEQ,WH",US Adoption of a Methane Protocol for Oil and Gas Sector.docx.pdf (https://dl.airtable.com/.attachments/44631d64c84637d104df9ebcc4509178/68355d60/USAdoptionofaMethaneProtocolforOilandGasSector.docx.pdf),Methane Protocol Draft 11.9_condensed.pdf (https://dl.airtable.com/.attachments/421efeef11d09d732a82e343368c6033/ca32d795/MethaneProtocolDraft11.9_condensed.pdf)
Install Roadside Solar to Charge Electric Vehicles,Allie Kelly,The Ray,"Energy,Infrastructure,Auto & Transport",Existing authority,No funding,Fed/State Partners. ,"FHWA,DOT",Install Roadside Solar to Charge Electric Vehicles.pdf (https://dl.airtable.com/.attachments/e396efd5ff2d27442da6401ededbdfe7/9e332136/InstallRoadsideSolartoChargeElectricVehicles.pdf),
"Taxable Direct Subsidy American Infrastructure Bonds (AIBs) – Revenue Neutral

",Dawn Weisz,Marin Community Energy,Infrastructure,New legislation,No funding,Fed/State Partners. ,TREAS,Taxable Direct Subsidy American Infrastructure Bonds (AIBs) – Revenue Neutral_docx.pdf (https://dl.airtable.com/.attachments/f264fe7a70b2ac7644b999d665a33db6/9b7ff6bf/TaxableDirectSubsidyAmericanInfrastructureBondsAIBsRevenueNeutral_docx.pdf),
Build Back Better Bonds Program (B3-Bonds),"Kara Saul Rinaldi,Gil Jenkins","AnnDyl Policy Group, Hannon Armstrong","Infrastructure,Energy",New legislation,Funding,Stimulus,"TREAS,DOE",Build Back Better Bonds Program (B3-Bonds).docx.pdf (https://dl.airtable.com/.attachments/7f1ee73a9d6ebf6c03e3d7b62609a207/d3b96c1e/BuildBackBetterBondsProgramB3-Bonds.docx.pdf),
"Ban salary history requests for federal government positions and support legislation to implement the ban in the private sector
","Laurie Wiegand,Jeanette Pablo,Anna Lising","Clean Energy for Biden, Utility Advantage, Energy Futures Initiative (submitting in personal capacity), ex-DOE",Equity & EJ,"Executive order,New legislation",No funding,,WH,Ban salary history requests for federal government positions and support legislation to implement the ban in the private sector.docx.pdf (https://dl.airtable.com/.attachments/1a5c10377f0f7e849d8c88d3c9dcd2b1/69a48a66/Bansalaryhistoryrequestsforfederalgovernmentpositionsandsupportlegislationtoimplementthebanintheprivatesector.docx.pdf),
"Tax Credits for Electric Cars, Trucks, and EV Charging Equipment","""Lowell Ungar, Ph.D.""",American Council for an Energy-Efficient Economy,Auto & Transport,New legislation,Funding,"Tax Credit,Stimulus,Potential Reconciliation",TREAS,"""Tax Credits for Electric Cars, Trucks, and EV Charging Equipment_docx.pdf (https://dl.airtable.com/.attachments/8067ce2cea121f361208ce60e242c601/906edc9a/TaxCreditsforElectricCarsTrucksandEVChargingEquipment_docx.pdf)""",
Low Income Housing Tax Credit (LIHTC) Carbon Neutral “Boost”,"Sadie McKeown ,Atalia Howe,Danielle Donnelly,Paul Ciminello",The Community Preservation Corporation,"Buildings & Affordable Housing,Equity & EJ",New legislation,Funding,"Tax Credit,Stimulus,Potential Reconciliation","DOE,EPA,HUD,TREAS,DOC,OMB",Low Income Housing Tax Credit (LIHTC) Carbon Neutral “Boost”_docx.pdf (https://dl.airtable.com/.attachments/b58c13c0be2264c169d42508f2c25488/26de0d0b/LowIncomeHousingTaxCreditLIHTCCarbonNeutralBoost_docx.pdf),
Federal Funding for Green Retrofits of Public Schools,Elizabeth Beardsley,"US Green Building Council, ex-GAO","Energy,Buildings & Affordable Housing,Equity & EJ",New legislation,Funding,Stimulus,ED,Federal Funding for Green Retrofits of Public Schools_docx.pdf (https://dl.airtable.com/.attachments/34d194515dd99fa485d4359421a5cfa4/65a22fd5/FederalFundingforGreenRetrofitsofPublicSchools_docx.pdf),
Update Energy Efficiency Standards for Manufactured Housing ,"""Lowell Ungar, Ph.D.""",American Council for an Energy-Efficient Economy,"Buildings & Affordable Housing,Equity & EJ",New regulations,No funding,,"DOE,HUD",Update Energy Efficiency Standards for Manufactured Housing .docx.pdf (https://dl.airtable.com/.attachments/fd8a774720f695390c3a7ad33887e7dd/153ca9c1/UpdateEnergyEfficiencyStandardsforManufacturedHousing.docx.pdf),
Strengthen Energy Efficiency Standards for Appliances and Equipment,"""Lowell Ungar, Ph.D.""",American Council for an Energy-Efficient Economy,"Energy,Buildings & Affordable Housing,Circular Economy  ",New regulations,No funding,,DOE,Strengthen Energy Efficiency Standards for Appliances and Equipment_docx.pdf (https://dl.airtable.com/.attachments/64b4ac880129795ed467d472aa72a9af/a8f75367/StrengthenEnergyEfficiencyStandardsforAppliancesandEquipment_docx.pdf),
Empowering renters and multifamily owners to benefit from renewable energy and zero-emission transport,Stacey Reineccius ,Powertree Services,"Buildings & Affordable Housing,Energy,Auto & Transport",Existing authority,Fund no-fund option,,"TREAS,HUD,SBA,EPA,HHS",Empowering renters and multifamily owners to benefit from renewable energy and zero-emission transport_docx.pdf (https://dl.airtable.com/.attachments/d52489abeae73c1914fcd5830d564852/3ddd5744/Empoweringrentersandmultifamilyownerstobenefitfromrenewableenergyandzero-emissiontransport_docx.pdf),
REITs for Renewable Energy Projects,Richard Kauffman,Generate Capital,"Energy,Infrastructure","Existing authority,Executive order,New regulations",No funding,Pub/Priv Partners.,"TREAS,WH",REITs for Renewable Energy Projects_docx.pdf (https://dl.airtable.com/.attachments/8417f340fa1a5f03e021310bb047ae63/4d6d803f/REITsforRenewableEnergyProjects_docx.pdf),
"Extend and Refresh Building Efficiency Tax Incentives (45L, 25C, 179D)
","""Lowell Ungar, Ph.D."",Ben Evans","American Council for an Energy-Efficient Economy, Alliance to Save Energy",Buildings & Affordable Housing,New legislation,Funding,"Tax Credit,Stimulus,Potential Reconciliation",TREAS,"""Extend and Refresh Building Efficiency Tax Incentives (45L, 25C, 179D).docx.pdf (https://dl.airtable.com/.attachments/4e5444fe62f6284fcf71c4c7813f3dc6/16dbc1cf/ExtendandRefreshBuildingEfficiencyTaxIncentives45L25C179D.docx.pdf)"",CLEEN - Energy Effiicency Tax Incentive Proposal_FINAL.pdf (https://dl.airtable.com/.attachments/abfc637c9e39ba1ba58f839138fb8b37/6275472c/CLEEN-EnergyEffiicencyTaxIncentiveProposal_FINAL.pdf)",
Fulbright Climate Specialist Program,Colin Bishopp,"PACENation, ex-DOE",Innovation,Existing authority,No funding,,DOS,Fulbright Climate Specialist Program.docx.pdf (https://dl.airtable.com/.attachments/eda9792f036e391beb929ac17fa4e543/56344de8/FulbrightClimateSpecialistProgram.docx.pdf),Fulbright Climate Specialist Program_Example_Workshop Outcomes Memo - Green Banks and Innovative Financing for Clean Energy.pdf (https://dl.airtable.com/.attachments/52c961403de02a12d501db5a532b1aa6/457f9f1a/FulbrightClimateSpecialistProgram_Example_WorkshopOutcomesMemo-GreenBanksandInnovativeFinancingforCleanEnergy.pdf)
"Clean Energy Advocate at Federal Energy Regulatory Commission
",Elin Swanson Katz,"Tilson Technology
","Energy,Infrastructure",Existing authority,No funding,,FERC,Clean Energy Advocate at FERC.docx.pdf (https://dl.airtable.com/.attachments/05cc41d0b2fc1d74a7fd7efd616fc591/1e0de573/CleanEnergyAdvocateatFERC.docx.pdf),
"Transportation Carbon Pollution Reduction Program
","""Lowell Ungar, Ph.D.""",American Council for an Energy-Efficient Economy,Auto & Transport,New legislation,Funding,"Stimulus,Potential Reconciliation",DOT,Transportation Carbon Pollution Reduction Program.docx.pdf (https://dl.airtable.com/.attachments/b49743de7e4e64d682ef04f909f591ab/89e0f53a/TransportationCarbonPollutionReductionProgram.docx.pdf),
Updated Energy Efficiency Standards for Federal Buildings,"""Lowell Ungar, Ph.D.""",American Council for an Energy-Efficient Economy,"Energy,Buildings & Affordable Housing","Existing authority,Executive order",No funding,,"DOE,GSA,OMB,WH",Updated Energy Efficiency Standards for Federal Buildings_docx.pdf (https://dl.airtable.com/.attachments/5062bb4a1b6e862807caf3f9a072c1be/df5afc60/UpdatedEnergyEfficiencyStandardsforFederalBuildings_docx.pdf),
"Electrifying Light Duty Vehicle Fleets Through a National Clean Miles Standard
","""Natasha Vidangos, Ph.D."",Andrew Salzberg,Tom Van Heeke,""Kelly Fleming, Ph.D."",Joel Levin,""Dan Kammen, Ph.D."",Kevin Vincent","Clean Energy for Biden, Transit, Plug In America, ex-DOS, ex-DOT","Auto & Transport,Energy",New regulations,Fund no-fund option,,"DOT,EPA",Electrifying Light Duty Vehicle Fleets Through a National Clean Miles Standard.docx (1).pdf (https://dl.airtable.com/.attachments/6e3e09f648c9d86e6d9763e1afef792b/58eea0c2/ElectrifyingLightDutyVehicleFleetsThroughaNationalCleanMilesStandard.docx1.pdf),
Federal “Green Button Initiative 2.0” – DOE Establishes Best Practices for Energy Data Access & Creates Data Innovation Working Group,"Kara Saul Rinaldi,Michael Murray","AnnDyl Policy Group, Mission:data Coalition","Energy,Buildings & Affordable Housing,Innovation",Existing authority,No funding,,"DOE,EPA",Federal “Green Button Initiative 2_0” – DOE Establishes Best Practices for Energy Data Access & Creates Data Innovation Working Group_docx.pdf (https://dl.airtable.com/.attachments/822cea8cc847959826b81bb58b6a8a17/f97bdc06/FederalGreenButtonInitiative2_0DOEEstablishesBestPracticesforEnergyDataAccessCreatesDataInnovationWorkingGroup_docx.pdf),
"Reforming the EV Tax Credit to Benefit Domestic Manufacturer’s and a Broad Consumer Base
","""Natasha Vidangos, Ph.D."",Andrew Salzberg,Tom Van Heeke,""Kelly Fleming, Ph.D."",Joel Levin,""Dan Kammen, Ph.D."",Kevin Vincent","Clean Energy for Biden, Transit, Plug In America, ex-DOS, ex-DOT",Auto & Transport,New legislation,Funding,"Tax Credit,Stimulus,Potential Reconciliation",TREAS,Reforming the EV Tax Credit to Benefit Domestic Manufacturer’s and a Broad Consumer Base.docx (1).pdf (https://dl.airtable.com/.attachments/972b1a5f64c1e6024eb2fa413d0736b8/b6ea6cf0/ReformingtheEVTaxCredittoBenefitDomesticManufacturersandaBroadConsumerBase.docx1.pdf),
Mandate Zero Emission Light-Duty Vehicles (LDVs),"""Natasha Vidangos, Ph.D."",Andrew Salzberg,Tom Van Heeke,""Kelly Fleming, Ph.D."",Joel Levin,""Dan Kammen, Ph.D."",Kevin Vincent","Clean Energy for Biden, Transit, Plug In America, ex-DOS, ex-DOT","Auto & Transport,Energy",Existing authority,No funding,,"EPA,DOT",Mandate Zero Emission Light-Duty Vehicles (LDVs).docx (1).pdf (https://dl.airtable.com/.attachments/4dae226861ae8fc7cb88e1012af3d7a4/380462f4/MandateZeroEmissionLight-DutyVehiclesLDVs.docx1.pdf),
"Mandate Zero Emission Medium- and Heavy-Duty Vehicles
","Kevin Vincent,Nathaniel Horadam","Clean Energy for Biden, Center for Transportation and the Environment","Auto & Transport,Energy",Existing authority,No funding,,"EPA,DOT",Mandate Zero Emission Medium- and Heavy-Duty Vehicles.docx.pdf (https://dl.airtable.com/.attachments/a7b509e9962c1e9e69b1d1a1a8a27e63/3b4552f7/MandateZeroEmissionMedium-andHeavy-DutyVehicles.docx.pdf),
"Electrify light duty vehicles — utilizing feebate incentives
","""Natasha Vidangos, Ph.D."",Andrew Salzberg,Tom Van Heeke,""Kelly Fleming, Ph.D."",Joel Levin,""Dan Kammen, Ph.D."",Kevin Vincent","Clean Energy for Biden, Transit, Plug In America, ex-DOS, ex-DOT","Auto & Transport,Energy",New legislation,No funding,,"EPA,DOT",Electrify light duty vehicles — utilizing feebate incentives.docx (1).pdf (https://dl.airtable.com/.attachments/055de1df3850fd317fc7fa7ff3c6fd9d/e94e4155/Electrifylightdutyvehiclesutilizingfeebateincentives.docx1.pdf),
Utilize Community Development Financial Institution Fund to make loans to small and medium manufacturers for energy efficiency,"""Lowell Ungar, Ph.D.""",American Council for an Energy-Efficient Economy,Manufacturing & Onshoring,New legislation,Funding,"Stimulus,Potential Reconciliation",TREAS,Utilize Community Development Financial Institution Fund to make loans to small and medium manufacturers for energy efficiency_docx.pdf (https://dl.airtable.com/.attachments/bd3c890a69d017fcd8db7eb991db6129/3c66e4b4/UtilizeCommunityDevelopmentFinancialInstitutionFundtomakeloanstosmallandmediummanufacturersforenergyefficiency_docx.pdf),
